Entity,Code,Year,Total confirmed cases of COVID-19
Afghanistan,AFG,35,1
Afghanistan,AFG,36,1
Afghanistan,AFG,37,1
Afghanistan,AFG,38,1
Afghanistan,AFG,39,1
Afghanistan,AFG,40,1
Afghanistan,AFG,41,1
Afghanistan,AFG,42,1
Afghanistan,AFG,43,1
Afghanistan,AFG,44,1
Afghanistan,AFG,45,1
Afghanistan,AFG,46,1
Afghanistan,AFG,47,4
Afghanistan,AFG,48,4
Afghanistan,AFG,49,4
Afghanistan,AFG,50,4
Albania,ALB,48,2
Albania,ALB,49,2
Albania,ALB,50,10
Algeria,DZA,36,1
Algeria,DZA,37,1
Algeria,DZA,38,1
Algeria,DZA,39,1
Algeria,DZA,40,1
Algeria,DZA,41,1
Algeria,DZA,42,5
Algeria,DZA,43,5
Algeria,DZA,44,12
Algeria,DZA,45,12
Algeria,DZA,46,17
Algeria,DZA,47,17
Algeria,DZA,48,20
Algeria,DZA,49,20
Algeria,DZA,50,20
Andorra,AND,42,1
Andorra,AND,43,1
Andorra,AND,44,1
Andorra,AND,45,1
Andorra,AND,46,1
Andorra,AND,47,1
Andorra,AND,48,1
Andorra,AND,49,1
Andorra,AND,50,1
Argentina,ARG,43,1
Argentina,ARG,44,1
Argentina,ARG,45,1
Argentina,ARG,46,2
Argentina,ARG,47,9
Argentina,ARG,48,12
Argentina,ARG,49,12
Argentina,ARG,50,17
Armenia,ARM,41,1
Armenia,ARM,42,1
Armenia,ARM,43,1
Armenia,ARM,44,1
Armenia,ARM,45,1
Armenia,ARM,46,1
Armenia,ARM,47,1
Armenia,ARM,48,1
Armenia,ARM,49,1
Armenia,ARM,50,1
Australia,AUS,4,3
Australia,AUS,5,4
Australia,AUS,6,4
Australia,AUS,7,5
Australia,AUS,8,7
Australia,AUS,9,7
Australia,AUS,10,9
Australia,AUS,11,12
Australia,AUS,12,12
Australia,AUS,13,12
Australia,AUS,14,12
Australia,AUS,15,13
Australia,AUS,16,14
Australia,AUS,17,15
Australia,AUS,18,15
Australia,AUS,19,15
Australia,AUS,20,15
Australia,AUS,21,15
Australia,AUS,22,15
Australia,AUS,23,15
Australia,AUS,24,15
Australia,AUS,25,15
