country,code,year,cases
Afghanistan,AFG,36,0
Afghanistan,AFG,37,0
Afghanistan,AFG,38,0
Afghanistan,AFG,39,0
Afghanistan,AFG,40,0
Afghanistan,AFG,41,0
Afghanistan,AFG,42,0
Afghanistan,AFG,43,0
Afghanistan,AFG,44,0
Afghanistan,AFG,45,0
Afghanistan,AFG,46,0
Afghanistan,AFG,47,3
Afghanistan,AFG,48,0
Afghanistan,AFG,49,0
Afghanistan,AFG,50,0
Afghanistan,AFG,51,3
Afghanistan,AFG,52,0
Afghanistan,AFG,53,0
Afghanistan,AFG,54,3
Albania,ALB,49,0
Albania,ALB,50,8
Albania,ALB,51,0
Albania,ALB,52,13
Albania,ALB,53,10
Albania,ALB,54,5
Algeria,DZA,37,0
Algeria,DZA,38,0
Algeria,DZA,39,0
Algeria,DZA,40,0
Algeria,DZA,41,0
Algeria,DZA,42,4
Algeria,DZA,43,0
Algeria,DZA,44,7
Algeria,DZA,45,0
Algeria,DZA,46,5
Algeria,DZA,47,0
Algeria,DZA,48,3
Algeria,DZA,49,0
Algeria,DZA,50,0
Algeria,DZA,51,5
Algeria,DZA,52,0
Algeria,DZA,53,1
Algeria,DZA,54,11
Andorra,AND,43,0
Andorra,AND,44,0
Andorra,AND,45,0
Andorra,AND,46,0
Andorra,AND,47,0
Andorra,AND,48,0
Andorra,AND,49,0
Andorra,AND,50,0
Andorra,AND,51,0
Andorra,AND,52,0
Andorra,AND,53,1
Andorra,AND,54,0
Antigua and Barbuda,ATG,54,0
Argentina,ARG,44,0
Argentina,ARG,45,0
Argentina,ARG,46,1
Argentina,ARG,47,7
Argentina,ARG,48,3
Argentina,ARG,49,0
Argentina,ARG,50,5
Argentina,ARG,51,2
Argentina,ARG,52,12
Argentina,ARG,53,3
Argentina,ARG,54,11
Armenia,ARM,42,0
Armenia,ARM,43,0
Armenia,ARM,44,0
Armenia,ARM,45,0
Armenia,ARM,46,0
Armenia,ARM,47,0
Armenia,ARM,48,0
Armenia,ARM,49,0
Armenia,ARM,50,0
Armenia,ARM,51,0
Armenia,ARM,52,0
Armenia,ARM,53,7
Armenia,ARM,54,0
Australia,AUS,5,1
Australia,AUS,6,0
Australia,AUS,7,1
Australia,AUS,8,2
Australia,AUS,9,0
Australia,AUS,10,2
Australia,AUS,11,3
Australia,AUS,12,0
Australia,AUS,13,0
Australia,AUS,14,0
Australia,AUS,15,1
Australia,AUS,16,1
Australia,AUS,17,1
Australia,AUS,18,0
Australia,AUS,19,0
Australia,AUS,20,0
Australia,AUS,21,0
Australia,AUS,22,0
Australia,AUS,23,0
Australia,AUS,24,0
Australia,AUS,25,0
Australia,AUS,26,0
Australia,AUS,27,0
Australia,AUS,28,0
Australia,AUS,29,0
Australia,AUS,30,0
Australia,AUS,31,2
Australia,AUS,32,4
Australia,AUS,33,1
Australia,AUS,34,0
Australia,AUS,35,0
Australia,AUS,36,1
Australia,AUS,37,0
Australia,AUS,38,0
Australia,AUS,39,1
Australia,AUS,40,1
Australia,AUS,41,2
Australia,AUS,42,6
Australia,AUS,43,10
Australia,AUS,44,14
Australia,AUS,45,0
Australia,AUS,46,5
Australia,AUS,47,12
Australia,AUS,48,3
Australia,AUS,49,15
Australia,AUS,50,20
Australia,AUS,51,10
Australia,AUS,52,18
Australia,AUS,53,57
Australia,AUS,54,52
Austria,AUT,37,0
Austria,AUT,38,2
Austria,AUT,39,1
Austria,AUT,40,5
Austria,AUT,41,0
Austria,AUT,42,8
Austria,AUT,43,6
Austria,AUT,44,13
Austria,AUT,45,10
Austria,AUT,46,19
Austria,AUT,47,38
Austria,AUT,48,8
Austria,AUT,49,19
Austria,AUT,50,51
Austria,AUT,51,120
Austria,AUT,52,59
Austria,AUT,53,143
Austria,AUT,54,296
Azerbaijan,AZE,41,0
Azerbaijan,AZE,42,0
Azerbaijan,AZE,43,0
Azerbaijan,AZE,44,0
Azerbaijan,AZE,45,0
Azerbaijan,AZE,46,6
Azerbaijan,AZE,47,0
Azerbaijan,AZE,48,0
Azerbaijan,AZE,49,0
Azerbaijan,AZE,50,0
Azerbaijan,AZE,51,0
Azerbaijan,AZE,52,2
Azerbaijan,AZE,53,0
Azerbaijan,AZE,54,8
Bahrain,BHR,36,18
Bahrain,BHR,37,7
Bahrain,BHR,38,0
Bahrain,BHR,39,5
Bahrain,BHR,40,2
Bahrain,BHR,41,7
Bahrain,BHR,42,2
Bahrain,BHR,43,0
Bahrain,BHR,44,0
Bahrain,BHR,45,0
Bahrain,BHR,46,0
Bahrain,BHR,47,7
Bahrain,BHR,48,23
Bahrain,BHR,49,30
Bahrain,BHR,50,1
Bahrain,BHR,51,79
Bahrain,BHR,52,6
Bahrain,BHR,53,15
Bahrain,BHR,54,1
Bangladesh,BGD,49,0
Bangladesh,BGD,50,0
Bangladesh,BGD,51,0
Bangladesh,BGD,52,0
Bangladesh,BGD,53,0
Bangladesh,BGD,54,0
Belarus,BLR,39,0
Belarus,BLR,40,0
Belarus,BLR,41,0
Belarus,BLR,42,0
Belarus,BLR,43,0
Belarus,BLR,44,5
Belarus,BLR,45,0
Belarus,BLR,46,0
Belarus,BLR,47,0
Belarus,BLR,48,0
Belarus,BLR,49,0
Belarus,BLR,50,3
Belarus,BLR,51,3
Belarus,BLR,52,0
Belarus,BLR,53,9
Belarus,BLR,54,0
Belgium,BEL,16,0
Belgium,BEL,17,0
Belgium,BEL,18,0
Belgium,BEL,19,0
Belgium,BEL,20,0
Belgium,BEL,21,0
Belgium,BEL,22,0
Belgium,BEL,23,0
Belgium,BEL,24,0
Belgium,BEL,25,0
Belgium,BEL,26,0
Belgium,BEL,27,0
Belgium,BEL,28,0
Belgium,BEL,29,0
Belgium,BEL,30,0
Belgium,BEL,31,0
Belgium,BEL,32,0
Belgium,BEL,33,0
Belgium,BEL,34,0
Belgium,BEL,35,0
Belgium,BEL,36,0
Belgium,BEL,37,0
Belgium,BEL,38,0
Belgium,BEL,39,0
Belgium,BEL,40,0
Belgium,BEL,41,0
Belgium,BEL,42,7
Belgium,BEL,43,0
Belgium,BEL,44,15
Belgium,BEL,45,27
Belgium,BEL,46,59
Belgium,BEL,47,60
Belgium,BEL,48,31
Belgium,BEL,49,39
Belgium,BEL,50,28
Belgium,BEL,51,47
Belgium,BEL,52,0
Belgium,BEL,53,285
Belgium,BEL,54,90
Bhutan,BTN,46,0
Bhutan,BTN,47,0
Bhutan,BTN,48,0
Bhutan,BTN,49,0
Bhutan,BTN,50,0
Bhutan,BTN,51,0
Bhutan,BTN,52,0
Bhutan,BTN,53,0
Bhutan,BTN,54,0
Bolivia,BOL,51,0
Bolivia,BOL,52,1
Bolivia,BOL,53,0
Bolivia,BOL,54,0
Bosnia and Herzegovina,BIH,45,0
Bosnia and Herzegovina,BIH,46,0
Bosnia and Herzegovina,BIH,47,0
Bosnia and Herzegovina,BIH,48,0
Bosnia and Herzegovina,BIH,49,0
Bosnia and Herzegovina,BIH,50,2
Bosnia and Herzegovina,BIH,51,0
Bosnia and Herzegovina,BIH,52,0
Bosnia and Herzegovina,BIH,53,7
Bosnia and Herzegovina,BIH,54,7
Brazil,BRA,38,0
Brazil,BRA,39,0
Brazil,BRA,40,1
Brazil,BRA,41,0
Brazil,BRA,42,0
Brazil,BRA,43,0
Brazil,BRA,44,1
Brazil,BRA,45,4
Brazil,BRA,46,6
Brazil,BRA,47,6
Brazil,BRA,48,6
Brazil,BRA,49,0
Brazil,BRA,50,9
Brazil,BRA,51,18
Brazil,BRA,52,25
Brazil,BRA,53,21
Brazil,BRA,54,23
Brunei,BRN,50,0
Brunei,BRN,51,11
Brunei,BRN,52,0
Brunei,BRN,53,13
Brunei,BRN,54,15
Bulgaria,BGR,48,2
Bulgaria,BGR,49,0
Bulgaria,BGR,50,2
Bulgaria,BGR,51,1
Bulgaria,BGR,52,0
Bulgaria,BGR,53,0
Bulgaria,BGR,54,36
Burkina Faso,BFA,51,0
Burkina Faso,BFA,52,0
Burkina Faso,BFA,53,0
Burkina Faso,BFA,54,1
Cambodia,KHM,8,0
Cambodia,KHM,9,0
Cambodia,KHM,10,0
Cambodia,KHM,11,0
Cambodia,KHM,12,0
Cambodia,KHM,13,0
Cambodia,KHM,14,0
Cambodia,KHM,15,0
Cambodia,KHM,16,0
Cambodia,KHM,17,0
Cambodia,KHM,18,0
Cambodia,KHM,19,0
Cambodia,KHM,20,0
Cambodia,KHM,21,0
Cambodia,KHM,22,0
Cambodia,KHM,23,0
Cambodia,KHM,24,0
Cambodia,KHM,25,0
Cambodia,KHM,26,0
Cambodia,KHM,27,0
Cambodia,KHM,28,0
Cambodia,KHM,29,0
Cambodia,KHM,30,0
Cambodia,KHM,31,0
Cambodia,KHM,32,0
Cambodia,KHM,33,0
Cambodia,KHM,34,0
Cambodia,KHM,35,0
Cambodia,KHM,36,0
Cambodia,KHM,37,0
Cambodia,KHM,38,0
Cambodia,KHM,39,0
Cambodia,KHM,40,0
Cambodia,KHM,41,0
Cambodia,KHM,42,0
Cambodia,KHM,43,0
Cambodia,KHM,44,0
Cambodia,KHM,45,0
Cambodia,KHM,46,0
Cambodia,KHM,47,1
Cambodia,KHM,48,0
Cambodia,KHM,49,0
Cambodia,KHM,50,1
Cambodia,KHM,51,0
Cambodia,KHM,52,2
Cambodia,KHM,53,2
Cambodia,KHM,54,0
Cameroon,CMR,46,1
Cameroon,CMR,47,0
Cameroon,CMR,48,0
Cameroon,CMR,49,0
Cameroon,CMR,50,0
Cameroon,CMR,51,0
Cameroon,CMR,52,0
Cameroon,CMR,53,0
Cameroon,CMR,54,1
Canada,CAN,7,1
Canada,CAN,8,1
Canada,CAN,9,0
Canada,CAN,10,0
Canada,CAN,11,1
Canada,CAN,12,0
Canada,CAN,13,0
Canada,CAN,14,0
Canada,CAN,15,1
Canada,CAN,16,0
Canada,CAN,17,2
Canada,CAN,18,0
Canada,CAN,19,0
Canada,CAN,20,0
Canada,CAN,21,0
Canada,CAN,22,0
Canada,CAN,23,0
Canada,CAN,24,0
Canada,CAN,25,0
Canada,CAN,26,0
Canada,CAN,27,0
Canada,CAN,28,1
Canada,CAN,29,0
Canada,CAN,30,0
Canada,CAN,31,0
Canada,CAN,32,0
Canada,CAN,33,1
Canada,CAN,34,0
Canada,CAN,35,1
Canada,CAN,36,0
Canada,CAN,37,1
Canada,CAN,38,0
Canada,CAN,39,3
Canada,CAN,40,5
Canada,CAN,41,0
Canada,CAN,42,8
Canada,CAN,43,3
Canada,CAN,44,0
Canada,CAN,45,15
Canada,CAN,46,6
Canada,CAN,47,6
Canada,CAN,48,5
Canada,CAN,49,15
Canada,CAN,50,16
Canada,CAN,51,0
Canada,CAN,52,45
Canada,CAN,53,38
Canada,CAN,54,68
Cayman Islands,CYM,54,0
Chile,CHL,44,0
Chile,CHL,45,0
Chile,CHL,46,4
Chile,CHL,47,0
Chile,CHL,48,5
Chile,CHL,49,3
Chile,CHL,50,4
Chile,CHL,51,6
Chile,CHL,52,10
Chile,CHL,53,10
Chile,CHL,54,18
China,CHN,1,32
China,CHN,2,264
China,CHN,3,261
China,CHN,4,462
China,CHN,5,688
China,CHN,6,776
China,CHN,7,1776
China,CHN,8,1460
China,CHN,9,1739
China,CHN,10,1984
China,CHN,11,2101
China,CHN,12,2590
China,CHN,13,2827
China,CHN,14,3233
China,CHN,15,3892
China,CHN,16,3697
China,CHN,17,3151
China,CHN,18,3387
China,CHN,19,2653
China,CHN,20,2984
China,CHN,21,2473
China,CHN,22,2022
China,CHN,23,1820
China,CHN,24,1998
China,CHN,25,1506
China,CHN,26,1120
China,CHN,27,19461
China,CHN,28,1893
China,CHN,29,1752
China,CHN,30,395
China,CHN,31,894
China,CHN,32,823
China,CHN,33,650
China,CHN,34,220
