country,code,year,cases
Albania,ALB,54,0
Albania,ALB,55,0
Albania,ALB,56,0
Algeria,DZA,52,0
Algeria,DZA,53,1
Algeria,DZA,54,1
Algeria,DZA,55,0
Algeria,DZA,56,1
Argentina,ARG,48,0
Argentina,ARG,49,0
Argentina,ARG,50,0
Argentina,ARG,51,0
Argentina,ARG,52,0
Argentina,ARG,53,1
Argentina,ARG,54,0
Argentina,ARG,55,0
Argentina,ARG,56,0
Australia,AUS,42,0
Australia,AUS,43,0
Australia,AUS,44,0
Australia,AUS,45,1
Australia,AUS,46,0
Australia,AUS,47,1
Australia,AUS,48,0
Australia,AUS,49,0
Australia,AUS,50,0
Australia,AUS,51,0
Australia,AUS,52,0
Australia,AUS,53,0
Australia,AUS,54,0
Australia,AUS,55,2
Australia,AUS,56,0
Austria,AUT,53,0
Austria,AUT,54,0
Austria,AUT,55,0
Austria,AUT,56,2
Bahrain,BHR,56,0
Belgium,BEL,56,0
Bulgaria,BGR,52,0
Bulgaria,BGR,53,0
Bulgaria,BGR,54,1
Bulgaria,BGR,55,0
Bulgaria,BGR,56,0
Canada,CAN,51,0
Canada,CAN,52,0
Canada,CAN,53,0
Canada,CAN,54,0
Canada,CAN,55,0
Canada,CAN,56,0
Cayman Islands,CYM,56,0
China,CHN,1,0
China,CHN,2,11
China,CHN,3,8
China,CHN,4,16
China,CHN,5,15
China,CHN,6,24
China,CHN,7,26
China,CHN,8,26
China,CHN,9,38
China,CHN,10,43
China,CHN,11,46
China,CHN,12,45
China,CHN,13,57
China,CHN,14,64
China,CHN,15,66
China,CHN,16,73
China,CHN,17,73
China,CHN,18,86
China,CHN,19,89
China,CHN,20,97
China,CHN,21,108
China,CHN,22,97
China,CHN,23,254
China,CHN,24,13
China,CHN,25,143
China,CHN,26,142
China,CHN,27,106
China,CHN,28,98
China,CHN,29,136
China,CHN,30,115
China,CHN,31,118
China,CHN,32,109
China,CHN,33,97
China,CHN,34,150
China,CHN,35,71
China,CHN,36,52
China,CHN,37,29
China,CHN,38,44
China,CHN,39,47
China,CHN,40,35
China,CHN,41,42
China,CHN,42,31
China,CHN,43,38
China,CHN,44,31
China,CHN,45,30
China,CHN,46,28
China,CHN,47,27
China,CHN,48,23
China,CHN,49,17
China,CHN,50,22
China,CHN,51,11
China,CHN,52,7
China,CHN,53,14
China,CHN,54,10
China,CHN,55,14
China,CHN,56,13
Denmark,DNK,56,3
Ecuador,ECU,56,0
Egypt,EGY,49,0
Egypt,EGY,50,0
Egypt,EGY,51,0
Egypt,EGY,52,0
Egypt,EGY,53,1
Egypt,EGY,54,0
Egypt,EGY,55,0
Egypt,EGY,56,2
France,FRA,27,0
France,FRA,28,0
France,FRA,29,0
France,FRA,30,0
France,FRA,31,0
France,FRA,32,0
France,FRA,33,0
France,FRA,34,0
France,FRA,35,0
France,FRA,36,0
France,FRA,37,1
France,FRA,38,0
France,FRA,39,0
France,FRA,40,0
France,FRA,41,0
France,FRA,42,1
France,FRA,43,1
France,FRA,44,0
France,FRA,45,2
France,FRA,46,3
France,FRA,47,1
France,FRA,48,9
France,FRA,49,11
France,FRA,50,3
France,FRA,51,15
France,FRA,52,13
France,FRA,53,18
France,FRA,54,12
France,FRA,55,36
France,FRA,56,21
Germany,DEU,50,0
Germany,DEU,51,1
Germany,DEU,52,3
Germany,DEU,53,0
Germany,DEU,54,2
Germany,DEU,55,4
Germany,DEU,56,1
Greece,GRC,52,0
Greece,GRC,53,0
Greece,GRC,54,1
Greece,GRC,55,2
Greece,GRC,56,0
Guatemala,GTM,56,0
Guyana,GUY,53,0
Guyana,GUY,54,0
Guyana,GUY,55,0
Guyana,GUY,56,0
Hungary,HUN,56,0
India,IND,53,1
India,IND,54,0
India,IND,55,0
India,IND,56,1
Indonesia,IDN,51,0
Indonesia,IDN,52,0
Indonesia,IDN,53,2
Indonesia,IDN,54,1
Indonesia,IDN,55,0
Indonesia,IDN,56,1
International,,31,0
International,,32,0
International,,33,1
International,,34,0
International,,35,0
International,,36,0
International,,37,1
International,,38,0
International,,39,2
International,,40,0
International,,41,0
International,,42,0
International,,43,0
International,,44,0
International,,45,0
International,,46,0
International,,47,1
International,,48,0
International,,49,0
International,,50,0
International,,51,0
International,,52,0
International,,53,0
International,,54,0
International,,55,0
International,,56,0
Iran,IRN,31,0
Iran,IRN,32,2
Iran,IRN,33,1
Iran,IRN,34,3
Iran,IRN,35,4
Iran,IRN,36,3
Iran,IRN,37,7
Iran,IRN,38,4
Iran,IRN,39,8
Iran,IRN,40,9
Iran,IRN,41,11
Iran,IRN,42,12
Iran,IRN,43,11
Iran,IRN,44,15
Iran,IRN,45,15
Iran,IRN,46,17
Iran,IRN,47,21
Iran,IRN,48,49
Iran,IRN,49,43
Iran,IRN,50,54
Iran,IRN,51,63
Iran,IRN,52,75
Iran,IRN,53,85
Iran,IRN,54,94
Iran,IRN,55,245
Iran,IRN,56,0
Iraq,IRQ,45,0
Iraq,IRQ,46,2
Iraq,IRQ,47,0
Iraq,IRQ,48,2
Iraq,IRQ,49,0
Iraq,IRQ,50,0
Iraq,IRQ,51,1
Iraq,IRQ,52,0
Iraq,IRQ,53,2
Iraq,IRQ,54,0
Iraq,IRQ,55,0
Iraq,IRQ,56,0
Ireland,IRL,52,0
Ireland,IRL,53,0
Ireland,IRL,54,1
Ireland,IRL,55,0
Ireland,IRL,56,0
Italy,ITA,34,0
Italy,ITA,35,4
Italy,ITA,36,5
Italy,ITA,37,1
Italy,ITA,38,5
Italy,ITA,39,4
Italy,ITA,40,8
Italy,ITA,41,6
Italy,ITA,42,17
Italy,ITA,43,28
Italy,ITA,44,27
Italy,ITA,45,41
Italy,ITA,46,49
Italy,ITA,47,37
Italy,ITA,48,132
Italy,ITA,49,97
Italy,ITA,50,168
Italy,ITA,51,196
Italy,ITA,52,189
Italy,ITA,53,252
Italy,ITA,54,173
Italy,ITA,55,368
Italy,ITA,56,694
Japan,JPN,25,0
Japan,JPN,26,0
Japan,JPN,27,0
Japan,JPN,28,0
Japan,JPN,29,0
Japan,JPN,30,0
Japan,JPN,31,0
Japan,JPN,32,0
Japan,JPN,33,0
Japan,JPN,34,0
Japan,JPN,35,0
Japan,JPN,36,0
Japan,JPN,37,2
Japan,JPN,38,1
Japan,JPN,39,1
Japan,JPN,40,0
Japan,JPN,41,1
