country,code,year,cases
Afghanistan,AFG,35,1
Afghanistan,AFG,36,1
Afghanistan,AFG,37,1
Afghanistan,AFG,38,1
Afghanistan,AFG,39,1
Afghanistan,AFG,40,1
Afghanistan,AFG,41,1
Afghanistan,AFG,42,1
Afghanistan,AFG,43,1
Afghanistan,AFG,44,1
Afghanistan,AFG,45,1
Afghanistan,AFG,46,1
Afghanistan,AFG,47,4
Afghanistan,AFG,48,4
Afghanistan,AFG,49,4
Afghanistan,AFG,50,4
Afghanistan,AFG,51,7
Afghanistan,AFG,52,7
Afghanistan,AFG,53,7
Afghanistan,AFG,54,10
Afghanistan,AFG,55,16
Afghanistan,AFG,56,21
Albania,ALB,48,2
Albania,ALB,49,2
Albania,ALB,50,10
Albania,ALB,51,10
Albania,ALB,52,23
Albania,ALB,53,33
Albania,ALB,54,38
Albania,ALB,55,42
Albania,ALB,56,51
Algeria,DZA,36,1
Algeria,DZA,37,1
Algeria,DZA,38,1
Algeria,DZA,39,1
Algeria,DZA,40,1
Algeria,DZA,41,1
Algeria,DZA,42,5
Algeria,DZA,43,5
Algeria,DZA,44,12
Algeria,DZA,45,12
Algeria,DZA,46,17
Algeria,DZA,47,17
Algeria,DZA,48,20
Algeria,DZA,49,20
Algeria,DZA,50,20
Algeria,DZA,51,25
Algeria,DZA,52,25
Algeria,DZA,53,26
Algeria,DZA,54,37
Algeria,DZA,55,49
Algeria,DZA,56,60
Andorra,AND,42,1
Andorra,AND,43,1
Andorra,AND,44,1
Andorra,AND,45,1
Andorra,AND,46,1
Andorra,AND,47,1
Andorra,AND,48,1
Andorra,AND,49,1
Andorra,AND,50,1
Andorra,AND,51,1
Andorra,AND,52,1
Andorra,AND,53,2
Andorra,AND,54,2
Andorra,AND,55,2
Andorra,AND,56,14
Antigua and Barbuda,ATG,53,1
Antigua and Barbuda,ATG,54,1
Antigua and Barbuda,ATG,55,1
Antigua and Barbuda,ATG,56,1
Argentina,ARG,43,1
Argentina,ARG,44,1
Argentina,ARG,45,1
Argentina,ARG,46,2
Argentina,ARG,47,9
Argentina,ARG,48,12
Argentina,ARG,49,12
Argentina,ARG,50,17
Argentina,ARG,51,19
Argentina,ARG,52,31
